Ref,Val,Package,PosX,PosY,Rot,Side
"C1","18p","C_0402_1005Metric",152.300000,-102.250000,0.000000,bottom
"C2","18p","C_0402_1005Metric",147.750000,-102.250000,180.000000,bottom
"C8","100n","C_0402_1005Metric",149.900000,-102.250000,180.000000,bottom
"C15","100n","C_0402_1005Metric",150.950000,-124.000000,0.000000,bottom
"D1","USBLC6-2SC6","SOT-23-6",150.450000,-118.187500,180.000000,bottom
"J2","microSD","microSD_HC_Hirose_DM3AT-SF-PEJM5",149.930000,-133.585000,180.000000,bottom
"J4","GPIO-A","PinHeader_1x08_P2.54mm_Vertical",139.750000,-122.850000,180.000000,bottom
"J5","GPIO-B","PinHeader_1x08_P2.54mm_Vertical",160.050000,-122.850000,180.000000,bottom
"J6","GPIO-C","PinHeader_1x08_P2.54mm_Vertical",160.050000,-99.990000,180.000000,bottom
"J7","DBG-PWR","PinHeader_1x08_P2.54mm_Vertical",139.750000,-99.990000,180.000000,bottom
"R1","10k","R_0402_1005Metric",145.800000,-124.050000,180.000000,bottom
"R12","47k","R_0402_1005Metric",154.850000,-123.800000,90.000000,bottom
"R13","47k","R_0402_1005Metric",147.200000,-123.800000,90.000000,bottom
"U2","AP2112K-3.3","SOT-23-5",150.450000,-114.787500,180.000000,bottom
"Y1","25MHz","Crystal_SMD_Abracon_ABM3-2Pin_5.0x3.2mm",149.950000,-104.850000,180.000000,bottom
"C3","100n","C_0402_1005Metric",145.150000,-116.700000,180.000000,top
"C4","10u","C_0402_1005Metric",153.930000,-109.900000,0.000000,top
"C5","1u","C_0402_1005Metric",155.000000,-110.850000,0.000000,top
"C6","100n","C_0402_1005Metric",144.550000,-138.400000,-90.000000,top
"C7","100n","C_0402_1005Metric",146.150000,-111.450000,0.000000,top
"C9","100n","C_0402_1005Metric",155.650000,-137.830000,-90.000000,top
"C10","4u7","C_0402_1005Metric",144.550000,-123.830000,-90.000000,top
"C11","100n","C_0402_1005Metric",145.850000,-121.300000,0.000000,top
"C12","2u2","C_0402_1005Metric",154.900000,-120.300000,0.000000,top
"C13","1u","C_0402_1005Metric",155.950000,-121.700000,90.000000,top
"C14","10u","C_0402_1005Metric",154.950000,-112.700000,0.000000,top
"J1","USB-C","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",150.050000,-104.670000,180.000000,top
"LED1","GREEN","LED_0603_1608Metric",145.550000,-110.200000,180.000000,top
"R2","10k","R_0402_1005Metric",149.450000,-110.900000,90.000000,top
"R3","5k1","R_0402_1005Metric",151.000000,-109.900000,180.000000,top
"R4","5k1","R_0402_1005Metric",147.550000,-110.400000,-90.000000,top
"R5","1k","R_0402_1005Metric",145.100000,-113.800000,180.000000,top
"R6","10k","R_0402_1005Metric",144.850000,-118.600000,180.000000,top
"R8","10R","R_0402_1005Metric",145.100000,-117.650000,0.000000,top
"R9","47k","R_0402_1005Metric",155.550000,-119.350000,0.000000,top
"R10","47k","R_0402_1005Metric",155.550000,-118.000000,0.000000,top
"R11","47k","R_0402_1005Metric",148.500000,-110.900000,90.000000,top
"SW1","RESET","SW_SPST_PTS645Sx43SMTR92",150.100000,-125.200000,0.000000,top
"SW2","BOOT0","SW_SPST_PTS645Sx43SMTR92",150.100000,-132.050000,0.000000,top
"SW3","USER","SW_SPST_PTS645Sx43SMTR92",150.100000,-138.850000,0.000000,top
"U1","STM32F411CEU6","QFN-48-1EP_7x7mm_P0.5mm_EP5.15x5.15mm",150.200000,-116.312500,0.000000,top
