Designator,Mid X,Mid Y,Layer,Rotation
C1,152.3000,-102.2500,BOTTOM,0.0
C2,147.7500,-102.2500,BOTTOM,180.0
C3,145.1500,-116.7000,TOP,180.0
C4,153.9300,-109.9000,TOP,0.0
C5,155.0000,-110.8500,TOP,0.0
C6,144.5500,-138.4000,TOP,270.0
C7,146.1500,-111.4500,TOP,0.0
C8,149.9000,-102.2500,BOTTOM,180.0
C9,155.6500,-137.8300,TOP,270.0
C10,144.5500,-123.8300,TOP,270.0
C11,145.8500,-121.3000,TOP,0.0
C12,154.9000,-120.3000,TOP,0.0
C13,155.9500,-121.7000,TOP,90.0
C14,154.9500,-112.7000,TOP,0.0
C15,150.9500,-124.0000,BOTTOM,0.0
D1,150.4500,-118.1875,BOTTOM,180.0
J1,150.0500,-104.6700,TOP,180.0
J2,149.9300,-133.5850,BOTTOM,180.0
LED1,145.5500,-110.2000,TOP,180.0
R1,145.8000,-124.0500,BOTTOM,180.0
R2,149.4500,-110.9000,TOP,90.0
R3,151.0000,-109.9000,TOP,180.0
R4,147.5500,-110.4000,TOP,270.0
R5,145.1000,-113.8000,TOP,180.0
R6,144.8500,-118.6000,TOP,180.0
R8,145.1000,-117.6500,TOP,0.0
R9,155.5500,-119.3500,TOP,0.0
R10,155.5500,-118.0000,TOP,0.0
R11,148.5000,-110.9000,TOP,90.0
R12,154.8500,-123.8000,BOTTOM,90.0
R13,147.2000,-123.8000,BOTTOM,90.0
SW1,150.1000,-125.2000,TOP,0.0
SW2,150.1000,-132.0500,TOP,0.0
SW3,150.1000,-138.8500,TOP,0.0
U1,150.2000,-116.3125,TOP,0.0
U2,150.4500,-114.7875,BOTTOM,180.0
Y1,149.9500,-104.8500,BOTTOM,180.0
